epoch,train_smse,val_smse,val_mae
1,119.57442322746043,113.55103630098476,9.092542678482504
2,93.42528095107627,78.59600327052769,7.280646046881638
3,81.4187362606854,78.00598947052842,7.191707256318973
4,80.18868208358296,79.01050089280704,7.242836257957066
5,80.20541182769615,77.16337785061063,7.145533801609086
6,80.14745040190917,79.19123322094406,7.253728521334046
7,79.68492649672392,77.50527067133724,7.230356157475878
8,79.46838957241722,77.15050328627967,7.163472060790093
9,79.8036538322537,77.57953168127406,7.248908735300999
10,79.12179656330596,78.85735630121638,7.258466085732479
11,79.31556576035287,77.78707007203565,7.2453335167773885
12,79.15370403520375,77.94432426558888,7.280961816771884
13,79.39105239632782,77.43290075142032,7.193023860493692
14,78.73821713690702,79.26559263620486,7.259055052304
15,78.75556607045391,77.93884027354781,7.212575869274911
16,78.91234362507927,79.01292106713714,7.230461344265269
17,78.58461466038683,77.76149130034212,7.17375599764103
18,78.74753066130516,78.13460443458305,7.252146303478999
19,78.27308223608843,79.20839104454619,7.253763909937023
20,77.91017022357855,79.20073954993278,7.250237679683734
21,77.18456294898687,81.14629151468381,7.291880067158226
22,77.39626858724485,78.9128952038356,7.256714810838533
23,76.99911066399439,78.48366327347834,7.2136211639499
24,76.63900454855995,79.2110180402974,7.221788091022331
25,76.30035663144234,79.29289550325194,7.227914479791966
26,76.51335995619367,80.48880030202662,7.32538041789843
27,75.74249421674224,79.89987944130102,7.288455452303357
28,75.2679922560294,79.03364322474916,7.199771294668791
29,74.87260619031801,81.17866418131432,7.27315788704416
30,74.09947475054547,82.13227820887548,7.302475907657083
