m,LRU,M2ARP,Optimal
5,724.0,672.1,547.1
6,681.2,639.6,511.4
7,651.4,608.4,480.6
8,620.6,581.7,455.7
9,594.4,560.9,430.8
10,561.1,535.8,409.7
11,537.9,516.1,397.1
12,514.7,496.1,381.9
13,493.6,476.2,367.5
14,474.9,459.3,355.9
15,458.4,443.9,348.1
