avg_launch_time_ms,hit_ratio,n_events,capacity,policy
724.0314458062156,0.304583835946924,3316,5,lru
547.1497855134855,0.5069360675512666,3316,5,optimal
672.0974724576782,0.38057901085645357,3316,5,m2arp
681.1746273459752,0.3537394451145959,3316,6,lru
511.36598677241864,0.5485524728588661,3316,6,optimal
639.6471468202984,0.41827503015681544,3316,6,m2arp
651.369976324366,0.3881182147165259,3316,7,lru
480.62484479834427,0.5823281061519904,3316,7,optimal
608.406604097987,0.4505428226779252,3316,7,m2arp
620.5518550607569,0.42249698431845595,3316,8,lru
455.7205014105365,0.609167671893848,3316,8,optimal
581.7278176775926,0.47738238841978287,3316,8,m2arp
594.3619805536914,0.45506634499396864,3316,9,lru
430.79691100332667,0.6360072376357057,3316,9,optimal
560.9203419786342,0.4984921592279855,3316,9,m2arp
561.0589545865837,0.4876357056694813,3316,10,lru
409.7355275971211,0.6571170084439083,3316,10,optimal
535.816185583594,0.5220144752714113,3316,10,m2arp
537.8796231359102,0.5189987937273823,3316,11,lru
397.060196153769,0.6740048250904704,3316,11,optimal
516.0537829860197,0.5476477683956574,3316,11,m2arp
514.701641631613,0.5443305186972256,3316,12,lru
381.917447245744,0.6905910735826297,3316,12,optimal
496.1445070291325,0.5693606755126659,3316,12,m2arp
493.5599241271507,0.5699638118214716,3316,13,lru
367.48354560295667,0.7083835946924005,3316,13,optimal
476.1689317678187,0.5907720144752714,3316,13,m2arp
474.86921699252406,0.588962605548854,3316,14,lru
355.89808785764745,0.7198431845597105,3316,14,optimal
459.2851581092241,0.6070566948130277,3316,14,m2arp
458.43766590267825,0.6100723763570567,3316,15,lru
348.13295616688606,0.7291917973462002,3316,15,optimal
443.9232393927084,0.626357056694813,3316,15,m2arp
